Avocado ID,Temperature,Humidity,Pressure,Gas Resistance,CO2,Day,Label,Time,BOX TYPE,,
2,28.3,76.7,1008.3,368.4,5000,1,0,48,1,,
3,28.5,76.4,1008.7,408.5,3215,1,0,48,1,,853
4,28.6,75.7,1008.5,387.3,4152,1,0,48,1,,810
5,28.7,75.5,1007.9,367.9,5000,1,0,48,1,,1018
6,28.4,75.4,1008.1,427.5,5000,1,0,48,1,,608
7,28.7,75.9,1007.5,378.5,2451,1,0,48,1,,628
1,31.4,68.1,1004.5,309.6,5000,1,0,54,1,,1162
2,31.1,64.6,1005.6,306.7,5000,1,0,54,1,,1037
3,30.4,65.7,1004.7,381.2,5000,1,0,54,1,,
4,29.9,66.6,1005.9,267.3,2517,1,0,54,1,,
5,31.2,68.2,1004.6,386.8,5000,1,0,54,1,,
6,31.2,69.5,1003.6,363,5000,1,0,54,1,,
7,31.4,68.4,1004.7,365.7,3671,1,0,54,1,,
1,28.5,79.6,1007.4,471.2,5000,1,0,66,1,,
2,29.4,78.5,1008.1,451.6,3245,1,0,66,1,,
3,28.7,78.2,1007.6,398.2,4326,1,0,66,1,,
4,29.4,79.4,1008.5,256.6,5000,1,0,66,1,,
5,28.5,79.5,1008.7,436.8,5000,1,0,66,1,,
6,28.4,79.4,1008.4,418.9,4215,1,0,66,1,,
7,28.8,78.1,1009.1,361.5,3728,1,0,66,1,,
1,27.3,78.4,1008.4,392.3,3220,2,0,72,1,,
2,27.4,78.9,1009.5,362.5,2580,2,0,72,1,,
3,27.3,77.8,1009.5,432.7,4320,2,0,72,1,,
4,28.1,78.5,1008.5,236.5,3120,2,0,72,1,,
5,27.4,78.2,1008.9,325.6,2950,2,0,72,1,,
6,27.7,77.9,1009.4,418.5,3125,2,0,72,1,,
7,28.3,78,1009.8,225.6,2570,2,0,72,1,,
1,29.7,72.6,1005.6,432.6,4172,2,0,78,1,,
2,30.3,72.6,1005.3,327.6,3872,2,0,78,1,,
3,30,72.9,1004.3,248.1,5000,2,0,78,1,,
4,29.5,73.5,1005.7,387.4,5000,2,0,78,1,,
5,30.8,74.8,1004.6,491.4,3241,2,0,78,1,,
6,31.2,72.5,1005.1,389.6,4617,2,0,78,1,,
7,29.8,74.7,1005.1,471.6,3551,2,0,78,1,,
1,29.3,73,1005.4,420.2,4120,2,0,84,1,,
2,29.8,73.2,1005.1,340.3,3800,2,0,84,1,,
3,29.5,73.5,1004.1,310.5,4900,2,0,84,1,,
4,29,74,1005.5,390.5,4850,2,0,84,1,,
5,30.3,75.2,1004.4,378.1,3300,2,0,84,1,,
6,30.7,73,1005,452.5,4550,2,0,84,1,,
7,29.4,75,1005,414.4,3600,2,0,84,1,,
1,27.6,77,1007,310.2,3600,2,0,90,1,,
2,27.3,77.8,1006.8,385,4250,2,0,90,1,,
3,27.1,76.5,1007.5,340.8,3120,2,0,90,1,,
4,27,76.9,1006.5,395,4800,2,0,90,1,,
5,27.4,77.1,1006.7,330.5,3650,2,0,90,1,,
6,27.5,76,1007.1,358.2,4380,2,0,90,1,,
7,27.1,76.4,1006.9,300.1,5000,2,0,90,1,,
1,28.1,76.5,1007.2,315.3,2520,3,0,96,1,,
2,27.8,77.2,1007,388.1,3251,3,0,96,1,,
3,27.6,76,1007.8,345.7,4126,3,0,96,1,,
4,27.5,76.5,1006.7,400.1,5000,3,0,96,1,,
5,27.9,77.3,1006.9,335.6,3240,3,0,96,1,,
6,28,76.1,1007.3,360.1,4351,3,0,96,1,,
7,27.5,76.5,1007,305.3,3401,3,0,96,1,,
1,29.3,75.8,1007.6,355.4,4250,3,0,102,1,,
2,29.7,76.1,1007.4,398.7,4500,3,0,102,1,,
3,28.9,75.3,1008.1,320.2,3750,3,0,102,1,,
4,28.8,75.9,1007.2,440.3,4900,3,0,102,1,,
5,29.5,76.6,1007.3,370.5,4100,3,0,102,1,,
6,29.6,75.6,1008.2,365.7,4450,3,0,102,1,,
7,29,75.7,1007.6,335.6,4820,3,0,102,1,,
1,29.6,77.1,1007.2,300.6,4700,3,0,108,1,,
2,30,77.4,1007,342.8,4950,3,0,108,1,,
3,29.2,76.3,1007.7,265.4,4200,3,0,108,1,,
4,29.1,76.9,1006.8,385.7,5000,3,0,108,1,,
5,29.8,77.6,1006.9,315.2,4520,3,0,108,1,,
6,29.9,76.8,1007.8,310.4,4800,3,0,108,1,,
7,29.4,77,1007.1,280.9,5000,3,0,108,1,,
1,29.1,78.2,1006.8,245.7,4450,3,0,114,1,,
2,29.5,78.6,1006.6,290.3,4620,3,0,114,1,,
3,28.8,77.4,1007.3,215.6,3980,3,0,114,1,,
4,28.7,78,1006.4,335.4,4700,3,0,114,1,,
5,29.3,78.7,1006.5,260.8,4300,3,0,114,1,,
6,29.4,77.8,1007.4,255.9,4500,3,0,114,1,,
7,29,78.1,1006.7,225.1,4680,3,0,114,1,,
1,29,76.4,1006.2,305.8,3950,4,0,120,1,,
2,29.3,76.8,1006,348.7,4025,4,0,120,1,,
3,28.6,75.9,1006.6,278.4,3650,4,0,120,1,,
4,28.5,76.3,1005.9,390.1,4200,4,0,120,1,,
5,29.1,77,1006.1,325.6,3810,4,0,120,1,,
6,29.2,76.2,1006.8,320.7,3985,4,0,120,1,,
7,28.8,76.5,1006.2,295.3,4100,4,0,120,1,,
1,29.3,77.3,1006.9,268.4,4180,4,0,126,1,,
2,29.6,77.7,1006.6,310.5,4325,4,0,126,1,,
3,28.9,76.8,1007.2,240.7,3890,4,0,126,1,,
4,28.8,77.2,1006.5,358.6,4500,4,0,126,1,,
5,29.4,77.9,1006.8,295.3,4100,4,0,126,1,,
6,29.5,77.1,1007.4,289.8,4280,4,0,126,1,,
7,29.1,77.4,1006.9,262.4,4385,4,0,126,1,,
1,29.6,78.1,1006.4,210.5,4450,4,0,132,1,,
2,29.9,78.5,1006.2,252.7,4600,4,0,132,1,,
3,29.2,77.6,1006.8,190.8,4200,4,0,132,1,,
4,29.1,78,1006.1,305.4,4750,4,0,132,1,,
5,29.7,78.7,1006.3,238.9,4400,4,0,132,1,,
6,29.8,77.9,1006.9,230.7,4550,4,0,132,1,,
7,29.4,78.2,1006.4,200.6,4680,4,0,132,1,,
1,29.9,79,1006,160.4,4800,4,0,138,1,,
2,30.2,79.4,1005.8,200.6,4950,4,0,138,1,,
3,29.5,78.5,1006.4,145.7,4550,4,0,138,1,,
4,29.4,78.9,1005.7,230.3,5000,4,0,138,1,,
5,30,79.6,1005.9,175.6,4720,4,0,138,1,,
6,30.1,78.8,1006.5,170.2,4880,4,0,138,1,,
7,29.7,79.1,1006,150.8,4950,4,0,138,1,,
1,29,82.7,1008.7,164.5,4792,5,0,139,1,,
1,28.2,84.3,1008.7,162.6,4808,5,0,140,1,,
1,27.6,83.9,1008.5,156.4,4756,5,0,141,1,,
1,27.2,84.1,1008.4,153.2,4713,5,0,142,1,,
1,27.5,84.8,1008.3,150,4696,5,0,143,1,,
1,27,84.4,1008.3,150,4687,6,0,144,1,,
2,29.8,78,1005.2,270.5,4380,5,0,144,1,,
3,29.1,77.1,1005.8,205.4,3980,5,0,144,1,,
4,29,77.5,1005.1,300.2,4520,5,0,144,1,,
5,29.6,78.3,1005.3,240.7,4150,5,0,144,1,,
6,29.7,77.4,1006,235.9,4300,5,0,144,1,,
7,29.3,77.8,1005.4,210.3,4400,5,0,144,1,,
1,26.9,85.8,1008.2,150,4711,6,0,145,1,,
1,27,84.7,1007.8,150,4716,6,0,146,1,,
1,28,84.2,1008.2,150,4671,6,0,147,1,,
1,28,83.3,1008.5,150.6,4618,6,0,148,1,,
1,29,82.6,1008.2,151.9,4648,6,0,149,1,,
1,29.8,81.6,1008.3,152.5,4677,6,0,150,1,,
2,30.1,79.1,1005.7,235.6,4700,5,0,150,1,,
3,29.4,78.2,1006.3,170.2,4300,5,0,150,1,,
4,29.3,78.6,1005.6,255.8,4850,5,0,150,1,,
5,29.9,79.4,1005.8,205.9,4480,5,0,150,1,,
6,30,78.5,1006.4,200.3,4620,5,0,150,1,,
7,29.6,78.9,1005.9,175.4,4750,5,0,150,1,,
1,30.1,81,1008.7,150,4702,6,0,151,1,,
1,30.8,80.7,1008.4,150.6,4747,6,0,152,1,,
1,32.3,79.4,1008.5,150,4704,6,0,153,1,,
1,32,79.3,1008.7,154,4688,6,0,154,1,,
1,31.9,78.9,1008.8,157,4695,6,0,155,1,,
1,32.1,79,1009,154.4,4685,6,0,156,1,,
2,30.3,79.5,1005.4,345.7,3820,5,0,156,1,,
3,29.6,78.6,1006,305.6,3450,5,0,156,1,,
4,29.5,79,1005.3,372.4,3950,5,0,156,1,,
5,30.1,79.8,1005.5,328.8,3600,5,0,156,1,,
6,30.2,78.9,1006.1,318.9,3750,5,0,156,1,,
7,29.8,79.3,1005.6,301.7,3880,5,0,156,1,,
1,31.8,78.4,1008.8,154.7,4685,6,0,157,1,,
2,32.1,79.4,1009,344.2,3824,6,0,157,1,,
3,32.4,78.6,1008.6,301.3,3446,6,0,157,1,,
6,31.7,78.3,1009,319.6,3719,6,0,157,1,,
