avocado_id,temperature,humidity,pressure,gas_resistance,co2,day,ripeness_label,time_hours,box_type
11,28.6,75.3,1008.5,314.6,5000,1,0,48,1
12,28.3,76.7,1008.3,368.4,5000,1,0,48,1
13,28.5,76.4,1008.7,408.5,3215,1,0,48,1
14,28.6,75.7,1008.5,387.3,4152,1,0,48,1
15,28.7,75.5,1007.9,367.9,5000,1,0,48,1
16,28.4,75.4,1008.1,427.5,5000,1,0,48,1
17,28.7,75.9,1007.5,378.5,2451,1,0,48,1
18,28.3,77.8,1008.5,437.4,4326,1,0,48,1
19,28.1,77.4,1008.3,356.7,3763,1,0,48,1
20,28.1,78.1,1007.9,423.6,5000,1,0,48,1
11,31.4,68.1,1004.5,309.6,5000,1,0,54,1
12,31.1,64.6,1005.6,306.7,5000,1,0,54,1
13,30.4,65.7,1004.7,381.2,5000,1,0,54,1
14,29.9,66.6,1005.9,267.3,2517,1,0,54,1
15,31.2,68.2,1004.6,386.8,5000,1,0,54,1
16,31.2,69.5,1003.6,363.0,5000,1,0,54,1
17,31.4,68.4,1004.7,365.7,3671,1,0,54,1
18,31.1,67.2,1004.6,389.2,4557,1,0,54,1
19,30.6,66.2,1004.7,370.5,3166,1,0,54,1
20,30.5,69.9,1004.3,373.7,2393,1,0,54,1
11,28.5,79.6,1007.4,471.2,5000,1,0,66,1
12,29.4,78.5,1008.1,451.6,3245,1,0,66,1
13,28.7,78.2,1007.6,398.2,4326,1,0,66,1
14,29.4,79.4,1008.5,256.6,5000,1,0,66,1
15,28.5,79.5,1008.7,436.8,5000,1,0,66,1
16,28.4,79.4,1008.4,418.9,4215,1,0,66,1
17,28.8,78.1,1009.1,361.5,3728,1,0,66,1
18,29.1,79.4,1007.8,418.7,3417,1,0,66,1
19,29.6,79.8,1008.3,398.6,5000,1,0,66,1
20,29.1,79.1,1009.1,322.5,5000,1,0,66,1
11,27.3,78.4,1008.4,392.3,3220,2,0,72,1
12,27.4,78.9,1009.5,362.5,2580,2,0,72,1
13,27.3,77.8,1009.5,432.7,4320,2,0,72,1
14,28.1,78.5,1008.5,236.5,3120,2,0,72,1
15,27.4,78.2,1008.9,325.6,2950,2,0,72,1
16,27.7,77.9,1009.4,418.5,3125,2,0,72,1
17,28.3,78.0,1009.8,225.6,2570,2,0,72,1
18,27.6,77.6,1008.3,446.7,4250,2,0,72,1
19,27.5,78.8,1008.1,398.5,4250,2,0,72,1
20,27.3,78.3,1009.1,414.6,3225,2,0,72,1
11,29.7,72.6,1005.6,432.6,4172,2,0,78,1
12,30.3,72.6,1005.3,327.6,3872,2,0,78,1
13,30.0,72.9,1004.3,248.1,5000,2,0,78,1
14,29.5,73.5,1005.7,387.4,5000,2,0,78,1
15,30.8,74.8,1004.6,491.4,3241,2,0,78,1
16,31.2,72.5,1005.1,389.6,4617,2,0,78,1
17,29.8,74.7,1005.1,471.6,3551,2,0,78,1
18,29.7,73.5,1006.4,290.1,2526,2,0,78,1
19,30.2,74.1,1004.2,351.3,5000,2,0,78,1
20,29.8,73.6,1004.1,482.6,3718,2,0,78,1
11,29.3,73.0,1005.4,420.2,4120,2,0,84,1
12,29.8,73.2,1005.1,340.3,3800,2,0,84,1
13,29.5,73.5,1004.1,310.5,4900,2,0,84,1
14,29.0,74.0,1005.5,390.5,4850,2,0,84,1
15,30.3,75.2,1004.4,378.1,3300,2,0,84,1
16,30.7,73.0,1005.0,452.5,4550,2,0,84,1
17,29.4,75.0,1005.0,414.4,3600,2,0,84,1
18,29.2,74.0,1006.2,215.6,2650,2,0,84,1
19,29.7,74.5,1004.0,375.6,5000,2,0,84,1
20,29.4,74.0,1004.0,431.4,3750,2,0,84,1
11,27.6,77.0,1007.0,310.2,3600,2,0,90,1
12,27.3,77.8,1006.8,385.0,4250,2,0,90,1
13,27.1,76.5,1007.5,340.8,3120,2,0,90,1
14,27.0,76.9,1006.5,395.0,4800,2,0,90,1
15,27.4,77.1,1006.7,330.5,3650,2,0,90,1
16,27.5,76.0,1007.1,358.2,4380,2,0,90,1
17,27.1,76.4,1006.9,300.1,5000,2,0,90,1
