Avocado ID,Temperature,Humidity,Pressure,Gas Resistance,CO2,Day,Label,Time
1,31.1,72.5,1004.2,357.5,4660,2,0,48
1,31.0,75.6,1003.5,339.0,4190,2,0,48
4,29.2,74.9,1009.2,385.5,3831,2,0,48
4,28.7,71.1,1005.3,352.4,3343,2,0,48
7,30.3,75.8,1006.9,381.7,4830,2,0,48
7,30.6,74.8,1006.3,343.2,4087,2,0,48
10,29.3,72.2,1005.8,478.2,4200,2,0,48
10,27.6,76.5,1004.5,315.4,4297,2,0,48
13,30.6,80.6,1006.9,324.9,4501,2,0,48
16,29.3,78.2,1005.3,294.8,4937,2,0,48
16,28.8,83.8,1006.9,242.8,3645,2,0,48
19,27.0,79.8,1004.0,333.9,4226,2,0,48
19,27.9,73.8,1006.2,236.9,4172,2,0,48
22,28.3,80.7,1009.4,365.7,4150,2,0,48
25,28.5,79.3,1008.2,442.8,3649,2,0,48
25,28.0,74.3,1007.7,382.6,4416,2,0,48
28,29.3,73.9,1006.8,347.3,4229,2,0,48
28,28.4,71.5,1007.4,358.0,4393,2,0,48
2,30.2,77.2,1007.1,357.0,4318,2,0,54
2,28.1,73.4,1005.5,384.7,4179,2,0,54
5,28.8,80.5,1005.2,344.5,3704,2,0,54
5,28.8,72.5,1003.9,239.8,4325,2,0,54
8,27.8,80.2,1009.7,350.7,4426,2,0,54
8,31.4,81.7,1006.8,344.8,4191,2,0,54
11,31.4,72.6,1006.4,376.7,4063,2,0,54
11,29.0,75.2,1007.5,381.0,4573,2,0,54
14,27.8,74.3,1005.8,409.5,4214,2,0,54
17,29.2,71.7,1006.3,452.3,3917,2,0,54
17,30.2,71.9,1005.2,389.9,4145,2,0,54
20,30.6,80.7,1008.2,385.2,4166,2,0,54
20,27.4,76.2,1003.7,345.6,4757,2,0,54
23,29.1,76.1,1005.2,326.0,5022,2,0,54
26,28.8,72.5,1007.8,398.4,3712,2,0,54
26,27.7,73.1,1009.8,435.9,4876,2,0,54
29,31.0,77.0,1005.1,364.7,4207,2,0,54
29,28.1,70.8,1004.8,471.4,3981,2,0,54
3,29.9,78.7,1005.6,448.3,4485,2,0,60
3,28.2,73.7,1003.7,299.3,3910,2,0,60
